Year,Population,Median Age,Fertility Rate,Density (P/Km²),South-Eastern Asia's Share of World Pop,World Population
2016,"641,466,642",29.1,2.32,148,8.60%,"7,464,022,049"
2017,"648,459,731",29.1,2.32,149,8.60%,"7,547,858,925"
2018,"655,298,440",29.1,2.32,151,8.60%,"7,631,091,040"
2019,"662,011,806",29.1,2.32,153,8.60%,"7,713,468,100"
2020,"668,619,840",29.1,2.32,154,8.60%,"7,794,798,739"
